1,15.25340953,14.42479913,1.407526715,100.9098894,90.20236596,24.82288662
2,15.0890372,14.84998119,1.620567321,97.27003061,88.56017418,24.23060702
4,15.11535914,14.59091454,2.925747843,99.65556071,88.35554126,25.62909725
8,15.17648534,14.68947411,5.913798447,98.01729996,87.96661775,25.34659825
16,15.27507658,14.90096275,9.452744381,100.3292761,87.83404224,26.22343096
32,15.13462274,14.12769561,10.77918383,99.7140614,89.24841343,30.57639491
64,14.92008571,14.32481439,11.1729558,99.51082865,90.57663023,31.75310936
128,15.29153249,14.4702829,11.15530439,98.97199544,89.99417083,35.51199303
256,14.88682735,14.48926619,11.24507068,98.49248368,89.11245223,36.11080685
512,15.01751864,14.18406537,11.22735024,98.63025721,89.77794304,37.29375036
1024,15.42009545,13.3887612,11.13772975,98.84534621,90.32260782,41.34464803
2048,15.15907482,12.79282293,11.56991031,98.19957785,89.37561688,44.75730313
4096,15.04471987,11.26968404,12.07624892,98.51725921,88.00070339,47.75473584
8192,15.23390807,8.613439305,12.3047425,96.60364242,87.13670121,50.27415737
16384,15.05990548,4.780055666,14.26930081,104.7617611,89.59350459,59.63915334
