dataset,lossy_compression,error_bound,cr,nrmse,acf_error
hepc,pmc,1.0,1.05,0.0003,0.0
hepc,swing,1.0,1.02,0.0002,0.0
hepc,sp,0.06,1.55,0.0062,0.0008
hepc,swab,0.0,1.0,0.0036,0.0008
hepc,pmc,3.0,1.15,0.0014,0.0001
hepc,swing,3.0,1.06,0.0011,0.0001
hepc,sp,0.17,3.08,0.0155,0.0046
hepc,swab,0.01,1.01,0.0001,0.0
hepc,pmc,5.0,1.26,0.0029,0.0003
hepc,swing,5.0,1.12,0.0025,0.0003
hepc,sp,0.29,3.94,0.0267,0.0099
hepc,swab,0.02,1.02,0.0003,0.0
hepc,pmc,7.0,1.36,0.0043,0.0004
hepc,swing,7.0,1.18,0.0038,0.0004
hepc,sp,0.4,4.74,0.0366,0.0106
hepc,swab,0.02,1.04,0.0005,0.0001
hepc,pmc,10.0,1.51,0.0061,0.0006
hepc,swing,10.0,1.25,0.0059,0.0007
hepc,sp,0.57,6.11,0.0544,0.0134
hepc,swab,0.03,1.08,0.0044,0.0012
hepc,pmc,15.0,1.8,0.0104,0.0012
hepc,swing,15.0,1.42,0.0103,0.0012
hepc,sp,0.86,10.09,0.0849,0.0184
hepc,swab,0.05,1.16,0.0018,0.0003
