TIME sec  , mode 
    38.370, loc  
    39.080, loc  
    36.640, loc  
    38.620, loc  
    38.360, loc  
    46.350, fed1 
    45.900, fed1 
    47.870, fed1 
    44.370, fed1 
    45.490, fed1 
    32.590, fed2 
    31.800, fed2 
    32.000, fed2 
    31.940, fed2 
    31.940, fed2 
    28.620, fed3 
    28.220, fed3 
    27.630, fed3 
    30.900, fed3 
    28.680, fed3 
    25.630, fed4 
    25.660, fed4 
    25.650, fed4 
    25.640, fed4 
    27.910, fed4 
    24.640, fed5 
    25.650, fed5 
    23.680, fed5 
    23.660, fed5 
    23.630, fed5 
    23.660, fed6 
    25.480, fed6 
    23.660, fed6 
    22.630, fed6 
    22.650, fed6 
    22.680, fed7 
    22.660, fed7 
    22.690, fed7 
    21.650, fed7 
    22.630, fed7 
