query,duration
q2-1.sql,339.4210
q2-1.sql,45.2198
q2-1.sql,44.6352
q2-1.sql,44.5196
q2-1.sql,43.3570
q2-2.sql,9.2180
q2-2.sql,9.1254
q2-2.sql,9.2637
q2-2.sql,9.1049
q2-2.sql,8.5162
q2-3.sql,47.3918
q2-3.sql,49.2007
q2-3.sql,50.7118
q2-3.sql,46.8335
q2-3.sql,47.8624
q3-1.sql,38.4671
q3-1.sql,38.4815
q3-1.sql,37.2989
q3-1.sql,37.4683
q3-1.sql,38.6324
q3-2.sql,56.7419
q3-2.sql,58.0293
q3-2.sql,56.7443
q3-2.sql,56.4154
q3-2.sql,56.3625
q3-3.sql,229.0039
q3-3.sql,225.7383
q3-3.sql,222.0190
q3-3.sql,222.0691
q3-3.sql,219.2493
q4-1.sql,44.8480
q4-1.sql,49.7607
q4-1.sql,54.2706
q4-1.sql,49.2047
q4-1.sql,47.6522
q4-2.sql,50.0698
q4-2.sql,49.6443
q4-2.sql,52.7258
q4-2.sql,47.6952
q4-2.sql,49.4582
q4-3.sql,59.7658
q4-3.sql,60.2935
q4-3.sql,59.0683
q4-3.sql,59.3648
q4-3.sql,59.7429
